change_rate,sex,
0.0004681224 ,male,
0.0005717270 ,male,
0.0005998932 ,male,
0.0002410336 ,male,
0.0004587750 ,male,
0.0002257425 ,male,
0.0001791170 ,male,
0.0001888927 ,male,
0.0001045379 ,male,
0.0003370305 ,male,
0.0001058938 ,male,
0.0000710152 ,male,
0.0002718806 ,male,
0.0002696205 ,male,
0.0000229684 ,male,
0.0005487572 ,male,
0.0001217882 ,male,
0.0005546833 ,male,
0.0001433258 ,male,
0.0005114387 ,male,
0.0000917658 ,male,
0.0002021212 ,male,
0.0004261632 ,male,
0.0003819163 ,male,
0.0006499615 ,male,
0.0001723259 ,male,
0.0005658176 ,male,
0.0005014709 ,male,
0.0006077533 ,male,
0.0001510004 ,male,
0.0004188588 ,male,
0.0002742355 ,male,
0.0002777018 ,male,
0.0002804034 ,male,
0.0005341607 ,male,
-0.0000059317 ,male,
0.0002978540 ,male,
0.0003596525 ,male,
0.0004689618 ,male,
0.0002558530 ,male,
0.0004527384 ,male,
0.0003375976 ,male,
0.0004559588 ,male,
0.0005510503 ,male,
0.0004519588 ,male,
0.0003400021 ,male,
0.0003277947 ,male,
0.0005273414 ,male,
0.0004768843 ,male,
-0.0003574698 ,male,
0.0002495501 ,male,
0.0005113337 ,male,
0.0003997668 ,male,
0.0008368065 ,male,
0.0005734264 ,male,
0.0002440826 ,male,
0.0006920403 ,male,
0.0002972222 ,male,
0.0000931647 ,male,
0.0005817487 ,male,
0.0001594927 ,male,
0.0007370283 ,male,
0.0005068558 ,male,
0.0005131575 ,male,
0.0006498623 ,male,
0.0007202512 ,male,
0.0003511457 ,male,
0.0006412710 ,male,
0.0005196588 ,male,
0.0006389192 ,male,
0.0007058427 ,male,
0.0001090309 ,male,
0.0005625788 ,male,
